epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.38809,0.67941,0.57143,1,0.67529,0.099005,5e-06,5e-06
2,2.62124,0.60599,0.57143,1,0.74805,0.0970149,1.49257e-05,1.49257e-05
3,6.33541,0.56745,0.57143,1,0.81543,0.0950248,2.47525e-05,2.47525e-05
4,7.75543,0.51894,0.57143,1,0.77881,0.0930345,3.44802e-05,3.44802e-05
5,8.7534,0.43727,0.57143,1,0.71777,0.0910441,4.4109e-05,4.4109e-05
6,9.69951,0.39847,0.57143,1,0.7041,0.0890536,5.36388e-05,5.36388e-05
7,10.6256,0.35084,0.57143,1,0.70752,0.0870631,6.30695e-05,6.30695e-05
8,14.6569,0.33816,0.57143,1,0.75146,0.0850724,7.24012e-05,7.24012e-05
9,18.5955,0.31618,0.42857,1,0.7876,0.0830816,8.1634e-05,8.1634e-05
10,19.1183,0.25426,0.42857,1,0.82764,0.0810908,9.07677e-05,9.07677e-05
11,19.7153,0.2576,0.28571,1,0.86572,0.0790998,9.98025e-05,9.98025e-05
12,20.2759,0.22015,0.28571,1,0.91016,0.0771087,0.000108738,0.000108738
13,20.884,0.27792,0.28571,1,0.95801,0.0751176,0.000117575,0.000117575
14,24.8232,0.18063,0.28571,1,1.00586,0.0731263,0.000126313,0.000126313
15,25.3226,0.17613,0.28571,1,1.04004,0.071135,0.000134952,0.000134952
16,25.8206,0.15559,0.28571,1,1.09473,0.0691435,0.000143491,0.000143491
17,26.3408,0.12217,0.28571,1,1.12793,0.0671519,0.000151932,0.000151932
18,28.8718,0.13092,0.28571,1,1.19141,0.0651603,0.000160274,0.000160274
19,29.4177,0.09707,0.28571,1,1.24707,0.0631685,0.000168517,0.000168517
20,29.9198,0.13167,0.28571,1,1.29785,0.0611767,0.00017666,0.00017666
21,32.9333,0.07181,0.28571,1,1.35938,0.0591847,0.000184705,0.000184705
22,33.6184,0.0398,0.28571,1,1.40918,0.0571927,0.000192651,0.000192651
23,34.4506,0.11093,0.28571,1,1.47363,0.0552005,0.000200498,0.000200498
24,35.2118,0.03297,0.28571,1,1.54102,0.0532082,0.000208245,0.000208245
25,36.0204,0.04031,0.28571,1,1.56738,0.0512159,0.000215894,0.000215894
26,39.1418,0.04535,0.28571,1,1.64062,0.0492234,0.000223444,0.000223444
27,39.7398,0.05411,0.42857,1,1.64551,0.0472309,0.000230894,0.000230894
28,40.226,0.01353,0.42857,1,1.64551,0.0452382,0.000238246,0.000238246
29,43.7714,0.01222,0.42857,1,1.68555,0.0432455,0.000245499,0.000245499
30,45.3316,0.00889,0.42857,1,1.73926,0.0412527,0.000252653,0.000252653
31,45.8433,0.02392,0.42857,1,1.73926,0.0392597,0.000259708,0.000259708
32,46.3437,0.01814,0.42857,1,1.82617,0.0372667,0.000266663,0.000266663
33,47.2654,0.03886,0.42857,1,1.93066,0.0352735,0.00027352,0.00027352
34,48.8457,0.02122,0.42857,1,1.93066,0.0332803,0.000280278,0.000280278
35,49.563,0.04274,0.42857,1,1.96875,0.0312869,0.000286937,0.000286937
36,50.2071,0.00721,0.42857,1,2.0293,0.0292935,0.000293496,0.000293496
37,50.6989,0.00354,0.42857,1,2.0293,0.0273,0.000299957,0.000299957
38,53.3764,0.03475,0.42857,1,2.09766,0.0253063,0.000306319,0.000306319
39,53.9481,0.01537,0.42857,1,2.20703,0.0233126,0.000312582,0.000312582
40,54.4913,0.00522,0.42857,1,2.20703,0.0213187,0.000318745,0.000318745
41,55.0829,0.09299,0.28571,1,2.29297,0.0193248,0.00032481,0.00032481
